time_of_day_key,time,hour
103700,10:37:00.000000,10
103800,10:38:00.000000,10
103900,10:39:00.000000,10
104100,10:41:00.000000,10
104200,10:42:00.000000,10
104300,10:43:00.000000,10
104400,10:44:00.000000,10
104500,10:45:00.000000,10
104600,10:46:00.000000,10
104900,10:49:00.000000,10
105000,10:50:00.000000,10
105200,10:52:00.000000,10
105300,10:53:00.000000,10
105400,10:54:00.000000,10
105600,10:56:00.000000,10
105700,10:57:00.000000,10
105800,10:58:00.000000,10
105900,10:59:00.000000,10
110000,11:00:00.000000,11
110100,11:01:00.000000,11
110200,11:02:00.000000,11
110400,11:04:00.000000,11
110500,11:05:00.000000,11
110700,11:07:00.000000,11
110800,11:08:00.000000,11
110900,11:09:00.000000,11
111000,11:10:00.000000,11
111100,11:11:00.000000,11
111200,11:12:00.000000,11
111300,11:13:00.000000,11
111400,11:14:00.000000,11
111600,11:16:00.000000,11
111700,11:17:00.000000,11
111800,11:18:00.000000,11
111900,11:19:00.000000,11
112000,11:20:00.000000,11
112100,11:21:00.000000,11
112200,11:22:00.000000,11
112300,11:23:00.000000,11
112400,11:24:00.000000,11
112500,11:25:00.000000,11
112700,11:27:00.000000,11
112800,11:28:00.000000,11
113000,11:30:00.000000,11
113100,11:31:00.000000,11
113200,11:32:00.000000,11
113300,11:33:00.000000,11
113400,11:34:00.000000,11
113500,11:35:00.000000,11
113600,11:36:00.000000,11
113700,11:37:00.000000,11
113800,11:38:00.000000,11
113900,11:39:00.000000,11
114000,11:40:00.000000,11
114200,11:42:00.000000,11
114300,11:43:00.000000,11
114500,11:45:00.000000,11
114600,11:46:00.000000,11
114700,11:47:00.000000,11
114900,11:49:00.000000,11
115000,11:50:00.000000,11
115200,11:52:00.000000,11
115400,11:54:00.000000,11
115600,11:56:00.000000,11
115800,11:58:00.000000,11
115900,11:59:00.000000,11
120000,12:00:00.000000,12
120100,12:01:00.000000,12
120200,12:02:00.000000,12
120400,12:04:00.000000,12
120500,12:05:00.000000,12
120600,12:06:00.000000,12
120700,12:07:00.000000,12
120800,12:08:00.000000,12
120900,12:09:00.000000,12
121000,12:10:00.000000,12
121100,12:11:00.000000,12
121200,12:12:00.000000,12
121400,12:14:00.000000,12
121500,12:15:00.000000,12
121600,12:16:00.000000,12
121700,12:17:00.000000,12
121900,12:19:00.000000,12
122000,12:20:00.000000,12
122100,12:21:00.000000,12
122200,12:22:00.000000,12
122300,12:23:00.000000,12
122400,12:24:00.000000,12
122500,12:25:00.000000,12
122600,12:26:00.000000,12
122700,12:27:00.000000,12
122800,12:28:00.000000,12
122900,12:29:00.000000,12
123000,12:30:00.000000,12
123100,12:31:00.000000,12
123300,12:33:00.000000,12
123400,12:34:00.000000,12
123500,12:35:00.000000,12
123600,12:36:00.000000,12
123700,12:37:00.000000,12
123800,12:38:00.000000,12
124000,12:40:00.000000,12
124100,12:41:00.000000,12
124300,12:43:00.000000,12
124400,12:44:00.000000,12
124500,12:45:00.000000,12
124600,12:46:00.000000,12
124800,12:48:00.000000,12
124900,12:49:00.000000,12
125000,12:50:00.000000,12
125100,12:51:00.000000,12
125200,12:52:00.000000,12
125300,12:53:00.000000,12
125400,12:54:00.000000,12
125500,12:55:00.000000,12
125600,12:56:00.000000,12
125800,12:58:00.000000,12
125900,12:59:00.000000,12
130000,13:00:00.000000,13
130100,13:01:00.000000,13
130200,13:02:00.000000,13
130300,13:03:00.000000,13
130400,13:04:00.000000,13
130500,13:05:00.000000,13
130600,13:06:00.000000,13
130700,13:07:00.000000,13
130800,13:08:00.000000,13
130900,13:09:00.000000,13
131100,13:11:00.000000,13
